Number,CallDecisionYear,CountryIsoCode,FundingInstrumentGaReporting,Country,Continent,research_area
107328,2005,IT,Fellowships,Italy,Europe,LS
107757,2005,UK,Fellowships,United Kingdom,Europe,LS
107821,2005,NL,Fellowships,Netherlands,Europe,LS
108506,2005,NL,Fellowships,Netherlands,Europe,LS
108514,2005,US,Fellowships,United States,North America,LS
108566,2005,SE,Fellowships,Sweden,Europe,MINT
108599,2005,AU,Fellowships,Australia,Oceania,MINT
108601,2005,EG,Fellowships,NA,Africa,SSH
108825,2005,US,Fellowships,United States,North America,LS
108827,2005,AU,Fellowships,Australia,Oceania,MINT
108832,2005,US,Fellowships,United States,North America,MINT
108834,2005,UK,Fellowships,United Kingdom,Europe,LS
108835,2005,DK,Fellowships,NA,Europe,MINT
108839,2005,US,Fellowships,United States,North America,MINT
108840,2005,UK,Fellowships,United Kingdom,Europe,SSH
108841,2005,US,Fellowships,United States,North America,MINT
108842,2005,US,Fellowships,United States,North America,MINT
108846,2005,AT,Fellowships,Austria,Europe,MINT
108848,2005,US,Fellowships,United States,North America,LS
108849,2005,AU,Fellowships,Australia,Oceania,LS
108875,2005,US,Fellowships,United States,North America,MINT
108880,2005,NL,Fellowships,Netherlands,Europe,LS
108886,2005,US,Fellowships,United States,North America,LS
108889,2005,FR,Fellowships,France,Europe,LS
108890,2005,US,Fellowships,United States,North America,MINT
108890,2005,UK,Fellowships,United Kingdom,Europe,MINT
108894,2005,CA,Fellowships,Canada,North America,LS
108903,2005,US,Fellowships,United States,North America,SSH
108904,2005,US,Fellowships,United States,North America,MINT
108909,2005,DE,Fellowships,Germany,Europe,LS
108911,2005,US,Fellowships,United States,North America,MINT
108912,2005,US,Fellowships,United States,North America,LS
108913,2005,US,Fellowships,United States,North America,LS
108914,2005,AU,Fellowships,Australia,Oceania,MINT
108915,2005,DE,Fellowships,Germany,Europe,MINT
108915,2005,US,Fellowships,United States,North America,MINT
108916,2005,US,Fellowships,United States,North America,MINT
108918,2005,US,Fellowships,United States,North America,MINT
108920,2005,CA,Fellowships,Canada,North America,MINT
